State,District,Location,Latitude,Longitude,Population,Cattle_Count,Poultry_Count,Cluster_ID,Recommended_Hub,Human_Waste_kg_day,Animal_Waste_kg_day,Total_Waste_kg_day,Estimated_Methane_m3_day,CO2e_Reduction_kg_day
Maharashtra,Pune,Pune,18.5204,73.8567,7200000,210000,500000,3,Hub_3,2880000.0,2100000.0,4980000.0,1992000.0,3984000.0
Maharashtra,Solapur,Solapur,17.6599,75.9064,1000000,120000,200000,4,Hub_4,400000.0,1200000.0,1600000.0,640000.0,1280000.0
Maharashtra,Mumbai,Mumbai,19.076,72.8777,20400000,350000,800000,1,Hub_1,8160000.0,3500000.0,11660000.0,4664000.0,9328000.0
Karnataka,Bengaluru Urban,Bengaluru,12.9716,77.5946,12500000,180000,600000,2,Hub_2,5000000.0,1800000.0,6800000.0,2720000.0,5440000.0
Tamil Nadu,Chennai,Chennai,13.0827,80.2707,11000000,150000,300000,5,Hub_5,4400000.0,1500000.0,5900000.0,2360000.0,4720000.0
Telangana,Hyderabad,Hyderabad,17.385,78.4867,10000000,140000,280000,6,Hub_6,4000000.0,1400000.0,5400000.0,2160000.0,4320000.0
Delhi,Central Delhi,Delhi,28.6139,77.209,19000000,300000,500000,7,Hub_7,7600000.0,3000000.0,10600000.0,4240000.0,8480000.0
West Bengal,Kolkata,Kolkata,22.5726,88.3639,14800000,200000,350000,8,Hub_8,5920000.0,2000000.0,7920000.0,3168000.0,6336000.0
Uttar Pradesh,Lucknow,Lucknow,26.8467,80.9462,3600000,280000,350000,9,Hub_9,1440000.0,2800000.0,4240000.0,1696000.0,3392000.0
Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,8000000,250000,450000,10,Hub_10,3200000.0,2500000.0,5700000.0,2280000.0,4560000.0
Rajasthan,Jaipur,Jaipur,26.9124,75.7873,4100000,300000,400000,11,Hub_11,1640000.0,3000000.0,4640000.0,1856000.0,3712000.0
Madhya Pradesh,Indore,Indore,22.7196,75.8577,3000000,220000,320000,12,Hub_12,1200000.0,2200000.0,3400000.0,1360000.0,2720000.0
Bihar,Patna,Patna,25.5941,85.1376,2500000,180000,250000,13,Hub_13,1000000.0,1800000.0,2800000.0,1120000.0,2240000.0
Punjab,Ludhiana,Ludhiana,30.9,75.8573,2000000,350000,300000,14,Hub_14,800000.0,3500000.0,4300000.0,1720000.0,3440000.0
Haryana,Gurugram,Gurugram,28.4595,77.0266,1800000,90000,200000,15,Hub_15,720000.0,900000.0,1620000.0,648000.0,1296000.0
Odisha,Bhubaneswar,Bhubaneswar,20.2961,85.8245,1200000,100000,150000,16,Hub_16,480000.0,1000000.0,1480000.0,592000.0,1184000.0
Kerala,Kochi,Kochi,9.9312,76.2673,2100000,80000,180000,17,Hub_17,840000.0,800000.0,1640000.0,656000.0,1312000.0
Assam,Guwahati,Guwahati,26.1445,91.7362,1100000,90000,150000,18,Hub_18,440000.0,900000.0,1340000.0,536000.0,1072000.0
Jharkhand,Ranchi,Ranchi,23.3441,85.3096,1000000,85000,120000,19,Hub_19,400000.0,850000.0,1250000.0,500000.0,1000000.0
Chhattisgarh,Raipur,Raipur,21.2514,81.6296,950000,95000,110000,20,Hub_20,380000.0,950000.0,1330000.0,532000.0,1064000.0
Maharashtra,Pune,Pune_Village_1,18.5304,73.86670000000001,14400,630,1500,3,Hub_3,5760.0,6300.0,12060.0,4824.0,9648.0
Maharashtra,Pune,Pune_Village_2,18.540399999999998,73.8767,28800,1260,3000,3,Hub_3,11520.0,12600.0,24120.0,9648.0,19296.0
Maharashtra,Pune,Pune_Village_3,18.5504,73.8867,43200,1890,4500,3,Hub_3,17280.0,18900.0,36180.0,14472.0,28944.0
Maharashtra,Pune,Pune_Village_4,18.560399999999998,73.89670000000001,57600,2520,6000,3,Hub_3,23040.0,25200.0,48240.0,19296.0,38592.0
Maharashtra,Pune,Pune_Village_5,18.5704,73.9067,72000,3150,7500,3,Hub_3,28800.0,31500.0,60300.0,24120.0,48240.0
Maharashtra,Pune,Pune_Village_6,18.580399999999997,73.9167,86400,3780,9000,3,Hub_3,34560.0,37800.0,72360.0,28944.0,57888.0
Maharashtra,Pune,Pune_Village_7,18.5904,73.9267,100800,4410,10500,3,Hub_3,40320.0,44100.0,84420.0,33768.0,67536.0
Maharashtra,Pune,Pune_Village_8,18.600399999999997,73.9367,115200,5040,12000,3,Hub_3,46080.0,50400.0,96480.0,38592.0,77184.0
Maharashtra,Pune,Pune_Village_9,18.6104,73.9467,129600,5670,13500,3,Hub_3,51840.0,56700.0,108540.0,43416.0,86832.0
Maharashtra,Pune,Pune_Village_10,18.6204,73.9567,144000,6300,15000,3,Hub_3,57600.0,63000.0,120600.0,48240.0,96480.0
Maharashtra,Pune,Pune_Village_11,18.630399999999998,73.9667,158400,6930,16500,3,Hub_3,63360.0,69300.0,132660.0,53064.0,106128.0
Maharashtra,Pune,Pune_Village_12,18.6404,73.97670000000001,172800,7560,18000,3,Hub_3,69120.0,75600.0,144720.0,57888.0,115776.0
Maharashtra,Pune,Pune_Village_13,18.650399999999998,73.9867,187200,8190,19500,3,Hub_3,74880.0,81900.0,156780.0,62712.0,125424.0
Maharashtra,Pune,Pune_Village_14,18.6604,73.9967,201600,8820,21000,3,Hub_3,80640.0,88200.0,168840.0,67536.0,135072.0
Maharashtra,Pune,Pune_Village_15,18.670399999999997,74.00670000000001,216000,9450,22500,3,Hub_3,86400.0,94500.0,180900.0,72360.0,144720.0
Maharashtra,Pune,Pune_Village_16,18.6804,74.0167,230400,10080,24000,3,Hub_3,92160.0,100800.0,192960.0,77184.0,154368.0
Maharashtra,Pune,Pune_Village_17,18.6904,74.0267,244800,10710,25500,3,Hub_3,97920.0,107100.0,205020.0,82008.0,164016.0
